                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.51112,                 0.5234,                 1.0107,                0.93808,                0.96639,                0.98587,                 0.8841,                0.56179,                0.36552,                 1.0211,               0.003961,               0.003961,               0.003961
                     63,                0.50084,                0.52328,                 1.0007,                0.95628,                0.96696,                0.98654,                 0.8704,                0.55927,                0.36921,                 1.0332,               0.003862,               0.003862,               0.003862
                     64,                0.47667,                0.50329,                0.99077,                0.96718,                0.89174,                0.96854,                0.84538,                0.60191,                0.40546,                 1.0687,               0.003763,               0.003763,               0.003763
                     65,                 0.4907,                0.52055,                0.99757,                0.89679,                 0.9536,                 0.9615,                0.87124,                 0.5024,                0.37491,                0.97863,               0.003664,               0.003664,               0.003664
                     66,                0.46522,                 0.4826,                0.98661,                0.98938,                0.90187,                0.97991,                0.86833,                0.55541,                0.36827,                 1.0086,               0.003565,               0.003565,               0.003565
                     67,                0.47084,                0.50515,                0.98952,                0.93373,                 0.9659,                0.98391,                0.87656,                0.51662,                0.34149,                0.96521,               0.003466,               0.003466,               0.003466
                     68,                0.46698,                0.47543,                0.98791,                0.95398,                 0.9595,                0.98812,                0.87364,                0.51151,                0.33705,                 0.9612,               0.003367,               0.003367,               0.003367
                     69,                0.46376,                0.49984,                 0.9903,                0.97068,                0.99424,                0.99368,                0.88482,                0.52823,                0.31697,                 0.9735,               0.003268,               0.003268,               0.003268
                     70,                0.45882,                 0.4888,                0.98387,                0.98475,                0.97421,                0.98117,                0.87937,                 0.5021,                0.33961,                0.97113,               0.003169,               0.003169,               0.003169
                     71,                0.46122,                 0.4933,                0.98149,                 0.9862,                0.92503,                0.99292,                 0.8855,                0.49328,                0.35311,                0.97527,                0.00307,                0.00307,                0.00307
                     72,                0.45379,                  0.479,                0.97518,                0.97517,                0.93052,                 0.9708,                0.87582,                0.52527,                 0.3414,                0.99565,               0.002971,               0.002971,               0.002971
                     73,                0.43671,                0.44831,                0.97145,                0.97363,                  0.935,                0.96709,                0.88938,                 0.4921,                0.30067,                0.97158,               0.002872,               0.002872,               0.002872
                     74,                0.43531,                  0.462,                0.97053,                0.93842,                0.95921,                0.98613,                0.88777,                0.49189,                0.34279,                 0.9627,               0.002773,               0.002773,               0.002773
                     75,                0.44199,                0.46195,                0.97602,                0.98031,                0.98068,                0.99133,                0.90088,                0.47016,                0.30362,                0.96862,               0.002674,               0.002674,               0.002674
                     76,                0.42714,                0.46024,                0.96862,                0.95937,                0.93946,                0.98407,                0.91192,                0.43846,                0.31882,                0.93804,               0.002575,               0.002575,               0.002575
                     77,                0.42145,                0.43694,                0.96442,                0.94267,                0.96716,                0.97527,                0.88099,                 0.5001,                0.33064,                0.97579,               0.002476,               0.002476,               0.002476
                     78,                0.40555,                0.41742,                0.95122,                0.97891,                 0.9809,                0.99456,                0.90743,                0.47749,                0.27689,                0.96195,               0.002377,               0.002377,               0.002377
                     79,                0.40727,                0.42826,                0.96211,                0.97926,                0.98485,                0.99369,                0.91364,                0.44181,                0.26172,                0.93179,               0.002278,               0.002278,               0.002278
                     80,                0.40182,                0.42273,                0.96062,                0.91613,                      1,                0.98757,                0.92212,                0.42248,                0.28267,                 0.9132,               0.002179,               0.002179,               0.002179
                     81,                0.39568,                0.41225,                0.95314,                0.96727,                 0.9697,                0.98918,                0.89894,                0.47737,                 0.2928,                0.95488,                0.00208,                0.00208,                0.00208
                     82,                 0.3907,                0.40114,                0.94822,                0.98169,                0.98485,                0.99369,                0.91807,                0.40939,                0.25417,                0.91408,               0.001981,               0.001981,               0.001981
                     83,                0.38679,                0.40548,                0.95032,                0.99323,                0.99229,                  0.995,                0.91432,                0.42374,                0.26316,                0.91502,               0.001882,               0.001882,               0.001882
                     84,                0.38151,                0.39386,                0.95037,                0.99643,                      1,                  0.995,                0.92931,                0.40965,                0.25367,                 0.9061,               0.001783,               0.001783,               0.001783
                     85,                 0.3798,                0.39465,                0.94198,                0.99611,                0.96802,                 0.9905,                0.92372,                0.40057,                0.26065,                0.90505,               0.001684,               0.001684,               0.001684
                     86,                0.36839,                0.37635,                0.93067,                0.99334,                0.94029,                0.98671,                0.91812,                 0.4012,                0.28705,                 0.9063,               0.001585,               0.001585,               0.001585
                     87,                0.37666,                0.40395,                0.95052,                0.98186,                0.98023,                0.99257,                0.93561,                0.40162,                0.24308,                0.91362,               0.001486,               0.001486,               0.001486
                     88,                0.37032,                0.38521,                0.93662,                0.99055,                0.96854,                0.99012,                0.92558,                0.40026,                0.25379,                0.91436,               0.001387,               0.001387,               0.001387
                     89,                 0.3658,                 0.3691,                 0.9322,                0.99121,                 0.9697,                0.99369,                0.94125,                0.37563,                0.23451,                0.90484,               0.001288,               0.001288,               0.001288
                     90,                0.33529,                0.31574,                0.90649,                0.97042,                0.97931,                0.98948,                0.92541,                0.37685,                0.26223,                0.89843,               0.001189,               0.001189,               0.001189
                     91,                 0.3201,                0.30117,                0.89737,                0.95669,                0.93845,                0.98747,                0.91282,                0.42842,                0.29807,                0.92317,                0.00109,                0.00109,                0.00109
                     92,                0.32016,                0.29939,                 0.8997,                0.98402,                0.98429,                0.99369,                 0.9443,                0.37961,                0.24602,                0.89763,               0.000991,               0.000991,               0.000991
                     93,                0.30403,                0.27714,                0.88739,                0.97107,                0.99229,                0.99414,                0.94325,                0.37477,                0.23825,                0.89125,               0.000892,               0.000892,               0.000892
                     94,                0.29628,                0.27709,                0.88584,                0.99415,                0.98129,                0.99456,                0.93271,                0.38644,                0.23788,                 0.9019,               0.000793,               0.000793,               0.000793
                     95,                0.28849,                0.27044,                0.87175,                0.98431,                0.96669,                0.99287,                0.94021,                0.36581,                0.22591,                0.89855,               0.000694,               0.000694,               0.000694
                     96,                0.28632,                0.26347,                0.87468,                0.98685,                0.99335,                  0.995,                0.94602,                0.36544,                0.23494,                0.88741,               0.000595,               0.000595,               0.000595
                     97,                  0.283,                0.26512,                0.87734,                0.99847,                0.99731,                  0.995,                0.94387,                0.35445,                0.21624,                0.88992,               0.000496,               0.000496,               0.000496
                     98,                 0.2757,                0.25885,                0.87461,                0.99979,                0.99936,                  0.995,                0.94609,                0.35416,                0.20261,                 0.8817,               0.000397,               0.000397,               0.000397
                     99,                0.27615,                0.25141,                0.87189,                 0.9986,                0.99783,                  0.995,                0.94898,                0.34407,                0.20811,                0.88063,               0.000298,               0.000298,               0.000298
